time,temperature_2m_max,temperature_2m_min,precipitation_sum,city
2022-02-11,6.9,-0.2,0.0,Lille
2022-02-12,7.4,-1.2,0.0,Lille
2022-02-13,11.4,0.7,0.1,Lille
2022-02-14,12.4,4.4,6.2,Lille
2022-02-15,10.1,2.5,4.7,Lille
2022-02-16,13.3,8.9,3.7,Lille
2022-02-17,12.3,7.3,0.5,Lille
2022-02-18,12.7,5.2,3.1,Lille
2022-02-19,8.6,3.8,2.7,Lille
2022-02-20,10.8,5.9,6.1,Lille
2022-02-21,10.4,4.2,1.1,Lille
2022-02-22,11.4,3.5,2.0,Lille
2022-02-23,11.1,2.0,0.0,Lille
2022-02-24,10.8,3.0,6.2,Lille
2022-02-25,8.6,1.0,0.6,Lille
2022-02-26,8.6,-2.5,0.0,Lille
2022-02-27,10.1,-0.6,0.0,Lille
2022-02-28,10.1,-0.4,0.0,Lille
2022-03-01,8.7,3.0,1.7,Lille
2022-03-02,9.8,4.6,4.4,Lille
2022-03-03,13.6,3.5,0.0,Lille
2022-03-04,12.8,0.3,0.0,Lille
2022-03-05,10.4,0.2,0.0,Lille
2022-03-06,7.2,-0.9,0.0,Lille
2022-03-07,5.6,-2.3,0.0,Lille
2022-03-08,10.2,-1.4,0.0,Lille
2022-03-09,13.6,2.0,0.0,Lille
2022-03-10,15.9,4.1,0.0,Lille
2022-03-11,15.1,6.0,1.6,Lille
2022-03-12,12.3,6.8,0.2,Lille
2022-03-13,13.2,7.9,2.6,Lille
2022-03-14,13.6,6.0,0.5,Lille
2022-03-15,12.7,6.1,0.6,Lille
2022-03-16,15.8,5.7,0.1,Lille
2022-03-17,11.8,3.5,0.0,Lille
2022-03-18,14.1,0.6,0.0,Lille
2022-03-19,14.4,5.1,0.0,Lille
2022-03-20,9.2,1.5,0.0,Lille
2022-03-21,16.9,-0.4,0.0,Lille
2022-03-22,18.2,6.2,0.0,Lille
2022-03-23,18.0,4.1,0.0,Lille
2022-03-24,18.0,2.8,0.0,Lille
2022-03-25,16.4,4.2,0.0,Lille
2022-03-26,17.8,5.7,0.0,Lille
2022-03-27,15.9,6.3,0.0,Lille
2022-03-28,16.5,3.5,0.0,Lille
2022-03-29,14.7,7.8,0.0,Lille
2022-03-30,11.1,5.3,0.9,Lille
2022-03-31,7.7,1.8,3.2,Lille
2022-04-01,4.7,0.8,2.2,Lille
2022-04-02,7.1,0.1,0.0,Lille
2022-04-03,7.6,-2.8,0.0,Lille
2022-04-04,10.0,0.9,2.3,Lille
2022-04-05,14.2,9.1,2.3,Lille
2022-04-06,11.8,7.8,5.2,Lille
2022-04-07,12.1,7.7,8.9,Lille
2022-04-08,7.3,3.2,1.2,Lille
2022-04-09,10.2,2.2,0.3,Lille
2022-04-10,12.1,-0.2,0.0,Lille
2022-04-11,17.5,4.2,0.0,Lille
2022-04-12,21.3,8.9,0.0,Lille
2022-04-13,16.1,7.8,0.2,Lille
2022-04-14,17.8,7.3,0.1,Lille
2022-04-15,18.5,6.0,0.0,Lille
2022-04-16,17.0,5.8,0.0,Lille
2022-04-17,19.2,4.8,0.0,Lille
2022-04-18,18.2,6.4,0.0,Lille
2022-04-19,19.4,5.3,0.0,Lille
2022-04-20,17.8,7.3,0.0,Lille
2022-04-21,18.8,6.2,0.0,Lille
2022-04-22,16.0,8.8,0.0,Lille
2022-04-23,20.4,9.9,0.1,Lille
2022-04-24,18.5,9.1,0.0,Lille
2022-04-25,13.3,6.1,0.5,Lille
2022-04-26,14.4,5.8,0.0,Lille
2022-04-27,15.3,3.6,0.0,Lille
2022-04-28,18.9,4.8,0.0,Lille
2022-04-29,16.0,7.3,0.1,Lille
2022-04-30,13.6,5.1,0.0,Lille
2022-05-01,15.6,3.2,0.0,Lille
2022-05-02,17.0,5.5,0.0,Lille
2022-05-03,16.9,5.9,0.2,Lille
2022-05-04,16.3,5.1,0.0,Lille
2022-05-05,15.7,8.4,1.0,Lille
2022-05-06,20.9,6.8,0.3,Lille
2022-05-07,19.5,10.1,3.9,Lille
2022-05-08,19.4,9.4,0.0,Lille
2022-05-09,23.0,7.3,0.0,Lille
2022-05-10,22.3,13.5,0.7,Lille
2022-05-11,21.9,10.6,0.0,Lille
2022-05-12,18.7,9.5,0.0,Lille
2022-05-13,18.3,9.4,0.0,Lille
2022-05-14,21.2,8.0,0.0,Lille
2022-05-15,27.4,11.2,0.0,Lille
2022-05-16,22.2,14.6,0.1,Lille
2022-05-17,25.5,15.1,0.0,Lille
2022-05-18,25.5,15.1,0.0,Lille
2022-05-19,22.9,14.6,15.1,Lille
2022-05-20,19.6,11.6,15.1,Lille
2022-05-21,19.2,11.3,0.0,Lille
2022-05-22,23.2,8.6,0.0,Lille
2022-05-23,18.0,12.5,9.2,Lille
2022-05-24,16.2,10.1,0.9,Lille
